0.028611, 0.169592, -0.006475, 	0.625, 1, 		0.9794, 0.1969, -0.045, 
0.035504, 0.24649, -0.003996, 	0.5, 1, 		0.9951, -0.0877, -0.0457, 
0.031108, 0.169592, 0.04785, 	0.5, 1, 		0.9857, 0.1621, -0.0453, 
-0.055676, 0.169592, -0.003654, 	0.875, 1, 		-0.8405, 0.1299, -0.5261, 
-0.027716, 0.24649, -0.008503, 	1, 1, 		-0.8309, 0.2668, -0.4883, 
-0.013363, 0.24649, -0.032997, 	0.875, 1, 		-0.8222, 0.2655, -0.5035, 

0.027251, 0.169592, 0.053877, 	0.375, 1, 		0.6125, 0.1632, 0.7735, 
-0.006411, 0.208842, 0.052609, 	0.25, 1, 		0.3876, 0.3598, 0.8487, 
-0.016157, 0.169592, 0.06949, 	0.25, 1, 		0.3607, 0.1479, 0.9209, 
-0.007336, 0.169592, -0.027809, 	0.75, 1, 		-0.1523, -0.9541, 0.2577, 
0.032483, 0.167189, -0.013181, 	0.625, 1, 		-0.1408, -0.9608, 0.239, 
0.028611, 0.169592, -0.006475, 	0.625, 1, 		-0.1513, -0.9551, 0.2549, 

-0.059533, 0.169592, 0.002374, 	0, 1, 		-0.9759, 0.1754, 0.1298, 
-0.042358, 0.208842, 0.031276, 	0.125, 1, 		-0.932, 0.3552, 0.0714, 
-0.027716, 0.24649, -0.008503, 	0, 1, 		-0.9225, 0.3852, 0.025, 
-0.007336, 0.169592, -0.027809, 	0.75, 1, 		-0.9353, -0.0497, 0.3503, 
-0.013363, 0.24649, -0.032997, 	0.875, 1, 		-0.9353, -0.0497, 0.3503, 
-0.011447, 0.167189, -0.039123, 	0.75, 1, 		-0.9353, -0.0497, 0.3503, 

0.031108, 0.169592, 0.04785, 	0.5, 1, 		0.8394, 0.1392, 0.5253, 
0.02115, 0.24649, 0.020498, 	0.375, 1, 		0.7681, 0.3041, 0.5635, 
0.027251, 0.169592, 0.053877, 	0.375, 1, 		0.6125, 0.1632, 0.7735, 
-0.006411, 0.208842, 0.052609, 	0.25, 1, 		-0.4049, 0.6094, 0.6817, 
0.004861, 0.24649, 0.010831, 	0.25, 1, 		-0.3565, 0.7148, 0.6016, 
-0.018393, 0.208842, 0.045498, 	0.208333, 1, 		-0.4059, 0.6061, 0.684, 

0.019215, 0.24649, -0.013663, 	0, 0, 		0.4907, -0.2645, -0.8302, 
0.032349, 0.267842, -0.012702, 	0, 0, 		0.4883, -0.2629, -0.8321, 
0.035504, 0.24649, -0.003996, 	0, 0, 		0.4921, -0.2654, -0.8291, 
0.019215, 0.24649, -0.013663, 	0.625, 1, 		-0.8387, 0.1821, -0.5132, 
0.021261, 0.272588, -0.007744, 	0.25, 1, 		-0.8246, 0.1858, -0.5344, 
0.026312, 0.268285, -0.016356, 	0.625, 1, 		-0.802, 0.1912, -0.5659, 

-0.018393, 0.208842, 0.045498, 	0.208333, 1, 		0.9078, -0.0105, 0.4194, 
-0.033213, 0.198501, 0.085816, 	0.208333, 1, 		0.9192, -0.0093, 0.3936, 
-0.024944, 0.169592, 0.064223, 	0.208333, 1, 		0.8797, -0.06, 0.4717, 
-0.042358, 0.208842, 0.031276, 	0.125, 1, 		-0.4043, 0.6108, 0.6808, 
-0.011428, 0.24649, 0.001164, 	0.125, 1, 		-0.3582, 0.7133, 0.6024, 
-0.027716, 0.24649, -0.008503, 	0, 1, 		-0.3583, 0.7121, 0.6038, 

-0.045054, 0.097496, 0.06381, 	0.166667, 1, 		-0.5008, -0.1931, 0.8438, 
-0.037598, 0.163775, 0.083399, 	0.208333, 1, 		-0.5076, -0.0902, 0.8569, 
-0.05386, 0.163775, 0.073748, 	0.166667, 1, 		-0.5082, -0.092, 0.8563, 
-0.042363, 0.169592, 0.053973, 	0.166667, 1, 		-0.4896, 0.2948, 0.8206, 
-0.042358, 0.208842, 0.031276, 	0.125, 1, 		-0.4043, 0.6108, 0.6808, 
-0.052104, 0.169592, 0.048156, 	0.125, 1, 		-0.49, 0.2944, 0.8205, 

-0.011428, 0.24649, 0.001164, 	0.125, 1, 		-0.858, -0.0877, -0.5061, 
0.001591, 0.282952, -0.027773, 	0.75, 1, 		-0.8724, -0.0903, -0.4803, 
0.002926, 0.24649, -0.02333, 	0.75, 1, 		-0.8788, -0.1057, -0.4654, 
-0.057036, 0.097496, 0.056699, 	0.125, 1, 		-0.5059, 0.1352, 0.8519, 
-0.042363, 0.169592, 0.053973, 	0.166667, 1, 		-0.4896, 0.2948, 0.8206, 
